smiles,Ki,leaked
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,40000.0,False
Brc1ccc(/N=N/c2c(-c3ccccc3)nn(-c3ccc(Br)cc3)c2-c2ccccc2)cc1,0.68,False
Brc1ccc(/N=N/c2c(-c3ccccc3)nn(-c3ccccc3)c2-c2ccccc2)cc1,0.68,False
Brc1ccc(NN=C2C(c3ccccc3)=NN=C2c2ccccc2)cc1,0.68,False
Brc1ccc2c(c1)Cc1c-2[nH]c2ccccc12,472.0,False
C#CCCCOc1ccc2ccc(=O)oc2c1,100000.0,False
C#CCCCOc1ccc2ccc(=S)oc2c1,100000.0,False
C#CCCOS(N)(=O)=O,5900.0,False
C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1,0.44,False
C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1,5.8,False
C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1,1785.0,False
C#CCN(CC#C)c1nnc(S(N)(=O)=O)s1,201.0,False
C#CCN1C(=O)c2ccccc2S1(=O)=O,158.0,False
C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1,47.0,False
C#CCNc1ccc(S(N)(=O)=O)cc1,96.5,False
C#CCNc1ccc2c(C)cc(=O)oc2c1,10000.0,False
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,45.0,False
C#CCOC1=NS(=O)(=O)OC(C)=C1,20000.0,False
C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,3.6,False
C#CCO[P@@](=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,56.4,False
C#CCO[P@](=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,0.78,False
C#CCOc1c(/C=N/Cc2ccc(S(N)(=O)=O)cc2)cccc1OC,23.7,False
C#CCOc1cc(N(CC)CC)ccc1/C=N/Cc1ccc(S(N)(=O)=O)cc1,15.9,False
C#CCOc1ccc(/C=N/Cc2ccc(S(N)(=O)=O)cc2)cc1,6493.0,False
C#CCOc1ccc(/C=N/Cc2ccc(S(N)(=O)=O)cc2)cc1OC,438.7,False
C#CCOc1ccc(Br)cc1/C=N/Cc1ccc(S(N)(=O)=O)cc1,35.4,False
C#CCOc1ccc(S(N)(=O)=O)cc1,28.7,False
C#CCOc1ccc([N+](=O)[O-])cc1/C=N/Cc1ccc(S(N)(=O)=O)cc1,2154.0,False
C#CCOc1ccc2c(c1)C=CS(=O)(=O)O2,10000.0,False
C#CCOc1ccc2c(c1)OS(=O)(=O)C=C2,10000.0,False
C#CCOc1ccc2ccc(=O)oc2c1,100000.0,False
C#CCOc1ccc2ccc(=S)oc2c1,100000.0,False
C#CCOc1ccc2ccccc2c1/C=N/Cc1ccc(S(N)(=O)=O)cc1,307.7,False
C#CCOc1ccc2oc(=O)ccc2c1,10000.0,False
C#CCOc1cccc(/C=N/Cc2ccc(S(N)(=O)=O)cc2)c1,7608.0,False
C#CCOc1ccccc1/C=N/Cc1ccc(S(N)(=O)=O)cc1,826.3,False
C#CCSc1ccc(S(N)(=O)=O)cc1,29.5,False
C#CCSc1ccncc1S(N)(=O)=O,108.0,False
C#CC[Se]c1ccc(S(N)(=O)=O)cc1,9.3,False
C#Cc1ccc(S(N)(=O)=O)cc1,55.0,False
C#Cc1cccc(S(N)(=O)=O)c1,66.1,True
C#[N+][O-],30000.0,False
C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,100000.0,False
C/C(=C\COc1ccc2ccc(=O)oc2c1)CCC(=O)C(C)(C)O,100000.0,False
C/C(=C\Cc1cc2ccc(=O)oc2cc1O)CO,78900.0,False
C/C(=N/NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Br)cc1,42.3,False
C/C(=N/NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Cl)cc1,45.8,False
C/C(=N/NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(F)cc1,21.2,False
C/C(=N/NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccccc1,23.1,False
C/C(=N/S(N)(=O)=O)c1ccc(N(C)C)cc1,20.0,False
C/C(=N\NC(=O)Nc1n[nH]c(=S)s1)c1ccc(Br)cc1,11250.0,False
C/C(=N\NC(=O)Nc1n[nH]c(=S)s1)c1ccc(C)cc1,3680.0,False
C/C(=N\NC(=O)Nc1n[nH]c(=S)s1)c1ccc(Cl)cc1,3890.0,False
C/C(=N\NC(=O)Nc1n[nH]c(=S)s1)c1ccc(O)cc1,350000.0,False
C/C(=N\NC(=O)Nc1n[nH]c(=S)s1)c1ccc([N+](=O)[O-])cc1,3540.0,False
C/C(=N\NC(=O)Nc1n[nH]c(=S)s1)c1ccccc1,3690.0,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O,12.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,26.3,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)C3CC=CCC3C2=O)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3c(Br)c(Br)c(Br)c(Br)c3C2=O)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c3C2=O)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3cc(Cl)c(Cl)cc3C2=O)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3ccc(C(C)(C)C)cc3C2=O)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3ccc(C)cc3C2=O)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,369.1,False
C/C(=N\NC(=O)c1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,28.0,False
C/C(=N\NC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(N2CCOCC2)cc1,53.9,False
C/C(=N\NC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,8.9,False
C/C(=N\NC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccncc1,8.5,False
C/C(=N\NC(N)=O)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,6864.0,False
C/C(=N\NC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,16.4,False
C/C(=N\NC(N)=S)c1nnn(-c2ccc(C(=O)O)cc2)c1C,416.1,False
C/C(=N\NC(N)=S)c1nnn(-c2ccc(F)cc2)c1C,100000.0,False
