smiles,Ki,leaked
C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,161.0,False
C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O,2370.0,False
C=CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,0.016,False
C=CCn1c(Br)nc2c(N)ncnc21,730.0,False
C=CCn1c(SCc2ccccn2)nc2c([nH]c3ccccc32)c1=O,100000.0,False
C=CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,176.0,False
C=Cn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,176.91500000000002,False
C=Cn1ncc2c1nc(N)n1c(=O)n(CC3CC3)nc21,27.4,False
C=Cn1ncc2c1nc(N)n1c(=O)n(Cc3cccc(Cl)c3)nc21,0.4,False
C=Cn1ncc2c1nc(N)n1c(=O)n(Cc3ccccc3)nc21,0.3,False
CC#Cc1nc(NC(C2CC2)C2CC2)c2nc[nH]c2n1,3240.0,False
CC(/C=N/Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)Cc1ccc(C(C)C)cc1,6.3,False
CC(=O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,12.0,False
CC(=O)CNc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,10000.0,False
CC(=O)CNc1nc(-c2ccccc2)nc2nc(C(C)C)cn12,10000.0,False
CC(=O)CNc1nc(-c2ccccc2)nc2nc(C)cn12,10000.0,False
CC(=O)COc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,0.8,False
CC(=O)COc1cccc2cc(-c3ccc(Br)cc3)c(=O)oc12,100000.0,False
CC(=O)COc1cccc2cc(-c3ccc(C)cc3)c(=O)oc12,100000.0,False
CC(=O)COc1cccc2cc(-c3ccccc3)c(=O)oc12,16100.0,False
CC(=O)N(C(C)=O)c1ccc(CNC(=O)c2cnc3nc(C)ccc3c2O)cc1,1644.0,False
CC(=O)N1CCC(Nc2nc(-c3ccco3)c(C(=O)c3ccccc3)s2)CC1,455.0,False
CC(=O)N1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)CC1,3.6,False
CC(=O)N1CCN(Cc2cccc3c2-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,7.9,False
CC(=O)N1CC[C@@H](Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1,100000.0,False
CC(=O)NCCNc1[nH]c(-c2ccccc2)nc2nc(C)c(C)c1-2,23.0,False
CC(=O)NCCNc1nc(-c2ccccc2)nc2[nH]c(C(=O)N3CCN(CCCc4ccccc4)CC3)cc12,328.0,False
CC(=O)NCCNc1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,281.0,False
CC(=O)NCCn1c(NC(=O)c2cccc(C#N)c2)nc2cc(C(=O)N3CCCCC3)cnc21,37.0,False
CC(=O)NCCn1cc(CCCCC(=O)NCCNC(=O)COc2ccc(CCCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)nn1,220.0,False
